antecedents,consequents,support,confidence,lift
IceDrip,CinnamonRoll,0.034210526315789476,0.36619718309859156,0.9065467724916274
EarlGrey,CinnamonRoll,0.09078947368421053,0.3660477453580902,0.9061768288995068
AuLait,CinnamonRoll,0.1118421052631579,0.3534303534303534,0.8749415915539693
PourOver,CinnamonRoll,0.05,0.3502304147465438,0.8670199192422584
PourOver,Tiramisu,0.04342105263157895,0.30414746543778803,0.8593013893409625
Americano,Tiramisu,0.09802631578947368,0.30346232179226074,0.8573656675171679
"Tiramisu, EarlGrey",CinnamonRoll,0.021052631578947368,0.3440860215053763,0.8518090434660782
Americano,CinnamonRoll,0.11052631578947368,0.3421588594704684,0.8470382188845473
"AuLait, EarlGrey",CinnamonRoll,0.020394736842105264,0.34065934065934067,0.8433260550524395
"Americano, EarlGrey",CinnamonRoll,0.021052631578947368,0.3333333333333333,0.8251900108577633
Tiramisu,CinnamonRoll,0.11644736842105263,0.32899628252788105,0.8144533378540378
ShaddockSparkling,CinnamonRoll,0.03618421052631579,0.3179190751445087,0.7870309352111616
