transaction_id,date,month,customer_type,dine_type,guest_count,product,qty,unit_price,total_price
TXN00225,2021-06-01,2021-06,Returning,DineIn,2,Americano,1,120,120
TXN00225,2021-06-01,2021-06,Returning,DineIn,2,Americano,1,120,120
TXN00225,2021-06-01,2021-06,Returning,DineIn,2,Tiramisu,1,170,170
TXN00215,2021-06-01,2021-06,New,DineIn,2,Sandwich,1,250,250
TXN00230,2021-06-01,2021-06,New,TakeOut,2,Tiramisu,2,170,340
TXN00196,2021-06-01,2021-06,Returning,DineIn,3,Meal,1,200,200
TXN00196,2021-06-01,2021-06,Returning,DineIn,3,Tiramisu,1,170,170
TXN00196,2021-06-01,2021-06,Returning,DineIn,3,Americano,2,120,240
TXN00196,2021-06-01,2021-06,Returning,DineIn,3,PourOver,2,180,360
TXN00058,2021-06-01,2021-06,Returning,DineIn,3,CinnamonRoll,1,170,170
TXN00058,2021-06-01,2021-06,Returning,DineIn,3,Tiramisu,2,170,340
TXN00150,2021-06-01,2021-06,Returning,DineIn,3,AuLait,2,200,400
TXN00150,2021-06-01,2021-06,Returning,DineIn,3,Tiramisu,2,170,340
TXN00150,2021-06-01,2021-06,Returning,DineIn,3,CinnamonRoll,2,170,340
TXN00150,2021-06-01,2021-06,Returning,DineIn,3,Americano,2,120,240
TXN00030,2021-06-01,2021-06,Returning,TakeOut,2,Tiramisu,2,170,340
TXN00158,2021-06-02,2021-06,Returning,DineIn,4,AuLait,2,200,400
TXN00158,2021-06-02,2021-06,Returning,DineIn,4,Tiramisu,1,170,170
TXN00158,2021-06-02,2021-06,Returning,DineIn,4,CinnamonRoll,1,170,170
TXN00158,2021-06-02,2021-06,Returning,DineIn,4,CinnamonRoll,2,170,340
TXN00063,2021-06-02,2021-06,Returning,DineIn,4,Americano,1,120,120
TXN00063,2021-06-02,2021-06,Returning,DineIn,4,PourOver,2,180,360
TXN00063,2021-06-02,2021-06,Returning,DineIn,4,PourOver,3,180,540
TXN00139,2021-06-02,2021-06,Returning,DineIn,4,CinnamonRoll,3,170,510
TXN00139,2021-06-02,2021-06,Returning,DineIn,4,EarlGrey,1,160,160
TXN00139,2021-06-02,2021-06,Returning,DineIn,4,AuLait,2,200,400
TXN00139,2021-06-02,2021-06,Returning,DineIn,4,CinnamonRoll,3,170,510
TXN00111,2021-06-02,2021-06,Returning,DineIn,1,CinnamonRoll,2,170,340
TXN00111,2021-06-02,2021-06,Returning,DineIn,1,PourOver,2,180,360
TXN00080,2021-06-02,2021-06,Returning,DineIn,2,EarlGrey,2,160,320
TXN00113,2021-06-02,2021-06,Returning,DineIn,2,ShaddockSparkling,2,160,320
TXN00113,2021-06-02,2021-06,Returning,DineIn,2,Americano,1,120,120
TXN00113,2021-06-02,2021-06,Returning,DineIn,2,AuLait,2,200,400
TXN00168,2021-06-02,2021-06,Returning,DineIn,1,EarlGrey,1,160,160
TXN00168,2021-06-02,2021-06,Returning,DineIn,1,ShaddockSparkling,1,160,160
TXN00168,2021-06-02,2021-06,Returning,DineIn,1,Tiramisu,2,170,340
TXN00069,2021-06-02,2021-06,New,DineIn,2,PourOver,2,180,360
TXN00133,2021-06-02,2021-06,New,TakeOut,2,EarlGrey,2,160,320
TXN00042,2021-06-02,2021-06,Returning,DineIn,2,AuLait,2,200,400
TXN00042,2021-06-02,2021-06,Returning,DineIn,2,Americano,2,120,240
TXN00042,2021-06-02,2021-06,Returning,DineIn,2,EarlGrey,1,160,160
TXN00098,2021-06-02,2021-06,Returning,DineIn,3,CinnamonRoll,1,170,170
TXN00098,2021-06-02,2021-06,Returning,DineIn,3,CinnamonRoll,1,170,170
TXN00098,2021-06-02,2021-06,Returning,DineIn,3,Tiramisu,2,170,340
TXN00098,2021-06-02,2021-06,Returning,DineIn,3,CinnamonRoll,1,170,170
TXN00226,2021-06-02,2021-06,Returning,DineIn,2,IceDrip,1,150,150
TXN00226,2021-06-02,2021-06,Returning,DineIn,2,PourOver,1,180,180
TXN00226,2021-06-02,2021-06,Returning,DineIn,2,Sandwich,1,250,250
TXN00009,2021-06-02,2021-06,Returning,DineIn,3,Americano,1,120,120
TXN00009,2021-06-02,2021-06,Returning,DineIn,3,Tiramisu,1,170,170
TXN00009,2021-06-02,2021-06,Returning,DineIn,3,ShaddockSparkling,2,160,320
TXN00188,2021-06-02,2021-06,Returning,DineIn,1,CinnamonRoll,2,170,340
TXN00061,2021-06-02,2021-06,New,DineIn,4,PourOver,3,180,540
TXN00061,2021-06-02,2021-06,New,DineIn,4,CinnamonRoll,1,170,170
TXN00061,2021-06-02,2021-06,New,DineIn,4,PourOver,3,180,540
TXN00219,2021-06-02,2021-06,New,DineIn,2,Americano,2,120,240
TXN00219,2021-06-02,2021-06,New,DineIn,2,CinnamonRoll,2,170,340
TXN00152,2021-06-03,2021-06,New,TakeOut,2,IceDrip,2,150,300
TXN00236,2021-06-03,2021-06,Returning,DineIn,3,Sandwich,2,250,500
TXN00236,2021-06-03,2021-06,Returning,DineIn,3,CinnamonRoll,2,170,340
TXN00236,2021-06-03,2021-06,Returning,DineIn,3,Tiramisu,1,170,170
TXN00236,2021-06-03,2021-06,Returning,DineIn,3,PourOver,2,180,360
TXN00110,2021-06-03,2021-06,New,DineIn,1,Tiramisu,2,170,340
TXN00110,2021-06-03,2021-06,New,DineIn,1,PourOver,1,180,180
TXN00177,2021-06-03,2021-06,New,DineIn,3,EarlGrey,2,160,320
TXN00177,2021-06-03,2021-06,New,DineIn,3,PourOver,2,180,360
TXN00076,2021-06-03,2021-06,New,DineIn,4,AuLait,3,200,600
TXN00076,2021-06-03,2021-06,New,DineIn,4,PourOver,2,180,360
TXN00076,2021-06-03,2021-06,New,DineIn,4,CinnamonRoll,3,170,510
TXN00076,2021-06-03,2021-06,New,DineIn,4,CinnamonRoll,1,170,170
TXN00076,2021-06-03,2021-06,New,DineIn,4,Americano,1,120,120
TXN00013,2021-06-03,2021-06,New,DineIn,1,AuLait,1,200,200
TXN00013,2021-06-03,2021-06,New,DineIn,1,AuLait,2,200,400
TXN00213,2021-06-03,2021-06,Returning,DineIn,1,EarlGrey,1,160,160
TXN00213,2021-06-03,2021-06,Returning,DineIn,1,IceDrip,1,150,150
TXN00179,2021-06-03,2021-06,Returning,DineIn,2,Tiramisu,2,170,340
TXN00121,2021-06-04,2021-06,Returning,DineIn,1,AuLait,1,200,200
TXN00121,2021-06-04,2021-06,Returning,DineIn,1,Tiramisu,2,170,340
TXN00121,2021-06-04,2021-06,Returning,DineIn,1,AuLait,2,200,400
TXN00067,2021-06-04,2021-06,New,DineIn,2,CinnamonRoll,1,170,170
TXN00067,2021-06-04,2021-06,New,DineIn,2,CinnamonRoll,2,170,340
TXN00239,2021-06-04,2021-06,Returning,DineIn,1,Tiramisu,1,170,170
TXN00016,2021-06-04,2021-06,Returning,TakeOut,2,EarlGrey,1,160,160
TXN00251,2021-06-04,2021-06,New,DineIn,3,CinnamonRoll,2,170,340
TXN00251,2021-06-04,2021-06,New,DineIn,3,Tiramisu,1,170,170
TXN00172,2021-06-04,2021-06,Returning,DineIn,1,Americano,1,120,120
TXN00172,2021-06-04,2021-06,Returning,DineIn,1,AuLait,2,200,400
TXN00130,2021-06-04,2021-06,New,DineIn,1,EarlGrey,1,160,160
TXN00089,2021-06-04,2021-06,Returning,DineIn,2,Sandwich,1,250,250
TXN00052,2021-06-04,2021-06,New,DineIn,2,CinnamonRoll,1,170,170
TXN00052,2021-06-04,2021-06,New,DineIn,2,EarlGrey,2,160,320
TXN00183,2021-06-05,2021-06,New,DineIn,1,Tiramisu,2,170,340
TXN00183,2021-06-05,2021-06,New,DineIn,1,Americano,1,120,120
TXN00183,2021-06-05,2021-06,New,DineIn,1,AuLait,2,200,400
TXN00021,2021-06-05,2021-06,Returning,DineIn,2,CinnamonRoll,2,170,340
TXN00021,2021-06-05,2021-06,Returning,DineIn,2,CinnamonRoll,1,170,170
TXN00135,2021-06-05,2021-06,New,DineIn,3,CinnamonRoll,2,170,340
TXN00135,2021-06-05,2021-06,New,DineIn,3,EarlGrey,1,160,160
TXN00135,2021-06-05,2021-06,New,DineIn,3,EarlGrey,2,160,320
TXN00017,2021-06-05,2021-06,Returning,DineIn,2,ShaddockSparkling,2,160,320
TXN00192,2021-06-05,2021-06,New,DineIn,4,EarlGrey,2,160,320
TXN00192,2021-06-05,2021-06,New,DineIn,4,CinnamonRoll,2,170,340
TXN00192,2021-06-05,2021-06,New,DineIn,4,CinnamonRoll,3,170,510
TXN00201,2021-06-06,2021-06,New,DineIn,1,Americano,2,120,240
TXN00201,2021-06-06,2021-06,New,DineIn,1,AuLait,2,200,400
TXN00027,2021-06-06,2021-06,Returning,DineIn,4,CinnamonRoll,1,170,170
TXN00027,2021-06-06,2021-06,Returning,DineIn,4,AuLait,1,200,200
TXN00027,2021-06-06,2021-06,Returning,DineIn,4,Tiramisu,2,170,340
TXN00027,2021-06-06,2021-06,Returning,DineIn,4,PourOver,3,180,540
TXN00027,2021-06-06,2021-06,Returning,DineIn,4,PourOver,1,180,180
TXN00043,2021-06-06,2021-06,Returning,DineIn,4,Americano,1,120,120
TXN00043,2021-06-06,2021-06,Returning,DineIn,4,Americano,3,120,360
TXN00043,2021-06-06,2021-06,Returning,DineIn,4,CinnamonRoll,1,170,170
TXN00048,2021-06-06,2021-06,Returning,DineIn,2,Sandwich,1,250,250
TXN00048,2021-06-06,2021-06,Returning,DineIn,2,CinnamonRoll,2,170,340
TXN00046,2021-06-06,2021-06,Returning,DineIn,2,AuLait,1,200,200
TXN00046,2021-06-06,2021-06,Returning,DineIn,2,CinnamonRoll,2,170,340
TXN00181,2021-06-06,2021-06,Returning,DineIn,1,AuLait,2,200,400
TXN00181,2021-06-06,2021-06,Returning,DineIn,1,CinnamonRoll,1,170,170
TXN00181,2021-06-06,2021-06,Returning,DineIn,1,EarlGrey,1,160,160
TXN00050,2021-06-06,2021-06,Returning,TakeOut,2,Tiramisu,1,170,170
TXN00050,2021-06-06,2021-06,Returning,TakeOut,2,CinnamonRoll,2,170,340
TXN00244,2021-06-07,2021-06,Returning,TakeOut,2,Americano,1,120,120
TXN00244,2021-06-07,2021-06,Returning,TakeOut,2,Tiramisu,1,170,170
TXN00194,2021-06-07,2021-06,New,DineIn,2,Tiramisu,2,170,340
TXN00040,2021-06-07,2021-06,Returning,DineIn,1,Tiramisu,1,170,170
TXN00040,2021-06-07,2021-06,Returning,DineIn,1,IceDrip,2,150,300
TXN00190,2021-06-07,2021-06,Returning,DineIn,1,EarlGrey,2,160,320
TXN00190,2021-06-07,2021-06,Returning,DineIn,1,CinnamonRoll,2,170,340
TXN00190,2021-06-07,2021-06,Returning,DineIn,1,Americano,2,120,240
TXN00122,2021-06-07,2021-06,New,DineIn,3,ShaddockSparkling,2,160,320
TXN00122,2021-06-07,2021-06,New,DineIn,3,EarlGrey,2,160,320
