transaction_id,date,order_time,serve_time,weekday,customer_type,total_amount,payment_method,dine_type,table_id,staff_id,guest_count,order_items,wait_time_min,avg_spend_per_guest
TXN00225,2021-06-01,08:33,08:48,Tuesday,Returning,410,MobilePay,DineIn,T1,S3,2,"[{""product"": ""Americano"", ""qty"": 1, ""unit_price"": 120}, {""product"": ""Americano"", ""qty"": 1, ""unit_price"": 120}, {""product"": ""Tiramisu"", ""qty"": 1, ""unit_price"": 170}]",15.0,205.0
TXN00215,2021-06-01,09:50,10:04,Tuesday,New,250,MobilePay,DineIn,T3,S2,2,"[{""product"": ""Sandwich"", ""qty"": 1, ""unit_price"": 250}]",14.0,125.0
TXN00230,2021-06-01,10:53,11:06,Tuesday,New,340,Credit,TakeOut,,S4,2,"[{""product"": ""Tiramisu"", ""qty"": 2, ""unit_price"": 170}]",13.0,170.0
TXN00196,2021-06-01,12:01,12:08,Tuesday,Returning,970,MobilePay,DineIn,T5,S3,3,"[{""product"": ""Meal"", ""qty"": 1, ""unit_price"": 200}, {""product"": ""Tiramisu"", ""qty"": 1, ""unit_price"": 170}, {""product"": ""Americano"", ""qty"": 2, ""unit_price"": 120}, {""product"": ""PourOver"", ""qty"": 2, ""unit_price"": 180}]",7.0,323.3333333333333
TXN00058,2021-06-01,14:57,15:04,Tuesday,Returning,510,Credit,DineIn,T5,S3,3,"[{""product"": ""CinnamonRoll"", ""qty"": 1, ""unit_price"": 170}, {""product"": ""Tiramisu"", ""qty"": 2, ""unit_price"": 170}]",7.0,170.0
TXN00150,2021-06-01,18:39,18:44,Tuesday,Returning,1320,MobilePay,DineIn,T5,S1,3,"[{""product"": ""AuLait"", ""qty"": 2, ""unit_price"": 200}, {""product"": ""Tiramisu"", ""qty"": 2, ""unit_price"": 170}, {""product"": ""CinnamonRoll"", ""qty"": 2, ""unit_price"": 170}, {""product"": ""Americano"", ""qty"": 2, ""unit_price"": 120}]",5.0,440.0
TXN00030,2021-06-01,19:27,19:36,Tuesday,Returning,340,MobilePay,TakeOut,,S2,2,"[{""product"": ""Tiramisu"", ""qty"": 2, ""unit_price"": 170}]",9.0,170.0
TXN00158,2021-06-02,08:18,08:33,Wednesday,Returning,1080,Credit,DineIn,T4,S3,4,"[{""product"": ""AuLait"", ""qty"": 2, ""unit_price"": 200}, {""product"": ""Tiramisu"", ""qty"": 1, ""unit_price"": 170}, {""product"": ""CinnamonRoll"", ""qty"": 1, ""unit_price"": 170}, {""product"": ""CinnamonRoll"", ""qty"": 2, ""unit_price"": 170}]",15.0,270.0
TXN00063,2021-06-02,08:22,08:29,Wednesday,Returning,1020,Cash,DineIn,T10,S3,4,"[{""product"": ""Americano"", ""qty"": 1, ""unit_price"": 120}, {""product"": ""PourOver"", ""qty"": 2, ""unit_price"": 180}, {""product"": ""PourOver"", ""qty"": 3, ""unit_price"": 180}]",7.0,255.0
TXN00139,2021-06-02,09:01,09:10,Wednesday,Returning,1580,MobilePay,DineIn,T2,S2,4,"[{""product"": ""CinnamonRoll"", ""qty"": 3, ""unit_price"": 170}, {""product"": ""EarlGrey"", ""qty"": 1, ""unit_price"": 160}, {""product"": ""AuLait"", ""qty"": 2, ""unit_price"": 200}, {""product"": ""CinnamonRoll"", ""qty"": 3, ""unit_price"": 170}]",9.0,395.0
